Datum,Stdgang,Person,Handrücken,Fingerkuppe,Unterarm,Rücken,Handfläche
10.05.2019,MBI18_Grp1,3,23,2,20,,6
10.05.2019,MBI18_Grp1,4,10,1,4,25,2
10.05.2019,MBI18_Grp1,5,8,1,"22,5",,7
10.05.2019,MBI18_Grp1,6,13,1,19,,9
10.05.2019,MBI18_Grp1,7,8,2,"21,1",25,6
10.05.2019,MBI18_Grp1,8,13,3,31,,12
10.05.2019,MBI18_Grp1,9,13,3,15,,7
10.05.2019,MBI18_Grp1,10,8,2,4,24,7
10.05.2019,MBI18_Grp1,11,7,2,3,23,5
10.05.2019,MBI18_Grp1,12,21,"1,5",38,,12
10.05.2019,MBI18_Grp1,13,4,1,32,35,4
10.05.2019,MBI18_Grp1,14,26,1,42,20,5
10.05.2019,MBI18_Grp1,15,8,1,34,61,14
10.05.2019,MBI18_Grp1,16,9,1,12,47,7
10.05.2019,MBI18_Grp1,17,14,2,17,,8
17.05.2019,MBI18_Grp2,1,10,2,27,33,8
17.05.2019,MBI18_Grp2,2,11,2,14,13,4
17.05.2019,MBI18_Grp2,3,25,2,38,37,7
17.05.2019,MBI18_Grp2,4,11,1,41,30,7
17.05.2019,MBI18_Grp2,5,6,1,17,27,2
17.05.2019,MBI18_Grp2,6,6,1,16,28,3
17.05.2019,MBI18_Grp2,7,12,1,20,35,6
17.05.2019,MBI18_Grp2,8,20,2,14,34,9
17.05.2019,MBI18_Grp2,9,12,4,34,45,9
17.05.2019,MBI18_Grp2,10,7,3,30,32,14
17.05.2019,MBI18_Grp2,11,18,1,37,15,8
17.05.2019,MBI18_Grp2,12,19,2,22,20,1
17.05.2019,MBI18_Grp2,13,4,3,20,42,12
17.05.2019,MBI18_Grp2,14,9,1,45,27,2
17.05.2019,MBI18_Grp2,15,12,1,11,16,3
20.12.2019,HCC19_Grp1,1,12,2,15,,3
20.12.2019,HCC19_Grp1,2,8,3,16,,6
20.12.2019,HCC19_Grp1,3,16,"0,3",55,18,6
20.12.2019,HCC19_Grp1,4,19,1,37,31,5
20.12.2019,HCC19_Grp1,5,11,1,19,21,5
20.12.2019,HCC19_Grp1,6,14,2,17,34,11
20.12.2019,HCC19_Grp1,7,5,"0,2",24,,7
20.12.2019,HCC19_Grp1,8,3,"0,2",30,,6
20.12.2019,HCC19_Grp1,9,18,"0,3",16,,8
20.12.2019,HCC19_Grp1,10,7,3,10,,4
20.12.2019,HCC19_Grp2,1,14,"1,5",19,,4
